" MFG. COMPANY INC."                                 , "INCORPORATED"       , " MANUFACTURING COMPANY"
" S.A.R.L"                                           , "SARL"               , " "
" (S.A.R.L.)"                                        , "SARL"               , " "
" (S.A.R.L)"                                         , "SARL"               , " "
" SARL."                                             , "SARL"               , " "
" S.A.R:L"                                           , "SARL"               , " "
" S.AR.L."                                           , "SARL"               , " "
" -SARL"                                             , "SARL"               , " "
" ( SARL)"                                           , "SARL"               , " "
" (SARL.)"                                           , "SARL"               , " "
" + CO AKTIENGESELL-SCHAFT"                          , "AG"                 , " & COMPANY"
" + CO. AKTIENGESELL-SCHAFT"                         , "AG"                 , " & COMPANY"
" CO. AKTIENGESELLSCHAFT"                            , "AG"                 , " COMPANY"
" CO AKTIENGESELLSCHAFT"                             , "AG"                 , " COMPANY"
"CO.,AKTIENGESELL-SCHAFT"                            , "AG"                 , " COMPANY"
"A.G.AKTIENGESELL-SCHAFT"                            , "AG"                 , " "
" AG AKTIENGESELLSCHAFT"                             , "AG"                 , " "
"CIE.AKTIENGESELL-SCHAFT"                            , "AG"                 , " COMPAGNIE"
" CIE AKTIENGESELLSCHAFT"                            , "AG"                 , " COMPAGNIE"
", AKTIENGESELLSCHAFT"                               , "AG"                 , " "
" AKTIENGESELLSCHAFT"                                , "AG"                 , " "
" AKTIENGESELL-SCHAFT"                               , "AG"                 , " "
" AKTIEN-GESELLSCHAFT"                               , "AG"                 , " "
" EN CO. N.V."                                       , "NV"                 , " & COMPANY"
" EN CO. NV"                                         , "NV"                 , " & COMPANY"
" CO. N.V."                                          , "NV"                 , " COMPANY"
